Intents,Text
bot_greets_good_afternoon,sir have a beautiful afternoon
bot_greets_good_afternoon,a very pleasant afternoon to you
bot_greets_good_afternoon,good afternoon sir ji
bot_greets_good_afternoon,a very good afternoon to you
bot_greets_good_afternoon,very good afternoon sir
bot_greets_good_afternoon,sir have a magical afternoon
bot_greets_good_afternoon,sir have a mind blowing afternoon
bot_greets_good_afternoon,sir have a good afternoon
bot_greets_good_afternoon,good noon
bot_greets_good_afternoon,sir have a magnificent afternoon
bot_greets_good_afternoon,good afternoon
bot_greets_good_afternoon,good afternoon sir
bot_greets_good_afternoon,sir have a smashing afternoon
bot_greets_good_afternoon,sir have a mind boggling afternoon
bot_greets_good_afternoon,I hope you have a good afternoon
bot_greets_good_afternoon,sir have a superb afternoon
bot_compliment_marry,ok then you marry
bot_compliment_marry,will you marry me
bot_compliment_marry,will you walk down the aisle with me
bot_compliment_marry,will you be my bride
bot_compliment_marry,I want to marry with you
bot_compliment_marry,can we start our life together
bot_compliment_marry,will you be my husband
bot_compliment_marry,it would be really nice if you marry me
bot_compliment_marry,can you tie knot with me
bot_compliment_marry,you will marry me
bot_compliment_marry,would you like to marry me
bot_compliment_marry,will you have a wedding with me
bot_greets_namaste,nomoshkar
bot_greets_namaste,namaste sir
bot_greets_namaste,pranam
bot_greets_namaste,greets nomoshkar
bot_greets_namaste,greets namaste
bot_greets_namaste,sir greets namaste
bot_greets_namaste,namashkar
bot_greets_namaste,namaskar to you and your family
bot_greets_namaste,namaste
bot_greets_namaste,namaskar to you
bot_greets_namaste,namoshkara
bot_greets_namaste,ram ram
bot_greets_namaste,namoshkar
bot_greets_namaste,namaskar how are you
bot_greets_namaste,namaskar
what_is_your_name,who are you
what_is_your_name,what is your name
what_is_your_name,i want to know your name
what_is_your_name,may i know your name
what_is_your_name,please tell me your name
what_is_your_name,what's your name
what_is_your_name,your name please
how_do_i_check_for_applied_leaves,Is there a way how I could check whether the leaves applied in advance are reflecting in My Work?
how_do_i_check_for_applied_leaves,How do I check on the dashboard page for leaves applied in advance?
how_do_i_check_for_applied_leaves,How can I check on the dashboard for leaves applied in advance?
how_do_i_check_for_applied_leaves,How can I check on the dashboard for my applied advance leaves
how_do_i_check_for_applied_leaves,how do I check my applied advanced leaves on dashboard
how_do_i_check_for_applied_leaves,I want to check whether the my applied leaves are reflecting in my work
how_do_i_check_for_applied_leaves,tell me how do I explore that advanced leaves which I have applied are showing in my work
how_do_i_check_for_applied_leaves,how dashboard can be used to check my applied leaves
how_do_i_check_for_applied_leaves,is dashboard useful to check advanced leaves that one have applied
how_do_i_check_for_applied_leaves,how anyone can look for their applied advanced leaves using dashboard
how_do_i_check_for_applied_leaves,I would like to check whether my advanced leaves are showing in my work
how_do_i_check_for_applied_leaves,can you please tell me the process to check for my leaves applied in advanced on dashboard
how_do_i_check_for_applied_leaves,may I know that leaves I applied for are reflecting in my work
how_do_i_check_for_applied_leaves,can you show me how can I look for my applied advanced leaves are displayed in my work
how_do_i_check_for_applied_leaves,I have applied for advanced leaves where can I see it in my work
how_do_i_check_for_applied_leaves,I have applied for advanced leaves where can I see it in my work dashboard
how_do_i_check_for_applied_leaves,how many leaves have i taken
how_do_i_check_for_applied_leaves,please show me the number of applied leaves are taken
how_do_i_check_for_applied_leaves,please show me the number of applied leaves i have taken
how_to_unlock_timesheet,What is the process to get a weekly timesheet unlocked?
how_to_unlock_timesheet,what is the procedure to unlock the weekly timesheet
how_to_unlock_timesheet,how to unlock timesheet I have to make some changes in it
how_to_unlock_timesheet,tell me how can one unlock weekly timesheet to make chnages after submission
how_to_unlock_timesheet,can you tell me the process to unlock weekly timesheet
how_to_unlock_timesheet,I would like to make some alteration in my timesheet please tell me how to unlock it for editing
how_to_unlock_timesheet,my weekly timesheet got locked after submission how to unlock it
how_to_unlock_timesheet,do you know how to unlock weekly timesheet
how_to_unlock_timesheet,is there any way to unlock the weekly timesheet
garbage_queries,leave me alone
garbage_queries,solve my query
garbage_queries,I have a query
garbage_queries,please answer my query
garbage_queries,please leave me alone
garbage_queries,I want to leave
bot_compliment_like,i like you very much
bot_compliment_like,is there any problem if I like you
bot_compliment_like,do you know I like you
bot_compliment_like,i like you so much
bot_compliment_like,I really like you
bot_compliment_like,bot compliment like
bot_compliment_like,i know like this
bot_listening,are you listening
bot_listening,are you listening to what i am saying
bot_listening,are you listening to what i am saying in english
bot_listening,Hello can you hear me
bot_listening,i am waiting for your response
bot_listening,can you listen to me
bot_listening,are you able to hear what i am asking
bot_listening,I am saying something are you even listening
bot_listening,please tell me if you can hear me
bot_listening,sure you are listening to me
bot_listening,hope you are listening to me
bot_listening,could we communicate in english
what_happens_when_i_submit_the_timesheet,What happens when I submit the timesheet
what_happens_when_i_submit_the_timesheet,what will happen when i submit the my work timesheet
what_happens_when_i_submit_the_timesheet,what happens when i submit the time sheet
what_happens_when_i_submit_the_timesheet,I had submit the time sheet but now I want to edit some points in that
what_happens_when_i_submit_the_timesheet,can I edit in timesheet after submission
what_happens_when_i_submit_the_timesheet,is it possible to edit time sheet after submission
what_happens_when_i_submit_the_timesheet,need to add some points in time sheet is it possible after submission
what_happens_when_i_submit_the_timesheet,after submission is it possible to edit the time sheet
what_happens_when_i_submit_the_timesheet,I want to edit my time sheet but problem is that I have already submited the time sheet
what_happens_when_i_submit_the_timesheet,Upon submitting the weekly timesheet becomes uneditable
what_happens_when_i_submit_the_timesheet,what to do after submitting my timesheet
what_happens_when_i_submit_the_timesheet,what to do if i have submitted my timesheet
what_happens_when_i_submit_the_timesheet,i have submitted my timesheet now what will happen
what_happens_when_i_submit_the_timesheet,what are the consequences of submitting my timesheet
what_happens_when_i_submit_the_timesheet,what are the consequences of submitted my timesheet
what_happens_when_i_submit_the_timesheet,if i submit the timesheet what will happen
bot_greets_good_evening,I wish you to have a good evening
bot_greets_good_evening,good evening
bot_greets_good_evening,good evening dear friends
bot_greets_good_evening,have a warm good evening
bot_greets_good_evening,very good evening sir
bot_greets_good_evening,have a very good evening
bot_greets_good_evening,wish you very good evening
bot_greets_good_evening,hope your evening is good
bot_greets_good_evening,good evening my lady
bot_greets_good_evening,have a amazing evening
bot_greets_good_evening,good evening mam
bot_greets_good_evening,a very good evening to all
bot_greets_good_evening,good evening everyone
bot_greets_good_evening,good evening sir
bot_greets_good_evening,gud evening
bot_greets_good_evening,good evening to all
bot_greets_good_evening,have a awesome evening
bot_greets_good_evening,have a lovely evening
bot_greets_good_evening,good evening dear
bot_greets_good_evening,good evening ladies and gentlemen
bot_greets_good_evening,have a pleasant evening
bot_greets_good_evening,happy evening
bot_greets_good_evening,have a great evening
bot_greets_good_evening,have a peaceful evening
bot_greets_good_evening,wish you a very happy evening
bot_responds_to_goodbye,ta ta
bot_responds_to_goodbye,Ill say goodbye
bot_responds_to_goodbye,Keep in touch
bot_responds_to_goodbye,babe bye for now
